PMID,Title,Journal,PubDate,Authors,Abstract,PubMedURL
41157526,Wearable Devices in Healthcare Beyond the One-Size-Fits All Paradigm.,"Sensors (Basel, Switzerland)",2025,"Bignami EG, Fornaciari A, Fedele S, Madeo M, Panizzi M, Marconi F, Cerdelli E, Bellini V","Wearable devices (WDs) are increasingly integrated into clinical workflows to enable continuous, non-invasive vital signs monitoring. Combined with Artificial Intelligence (AI), these systems can shift clinical monitoring from being reactive to predictive, allowing for earlier detection of deterioration and more personalized interventions. The value of these technologies lies not in absolute measurements, but in detecting physiological parameters trends relative to each patient's baseline. Such a trend-based approach enables real-time prediction of deterioration, enhancing patient safety and continuity of care. However, despite their shared multiparametric capabilities, WDs are not interchangeable. This narrative review analyzes nine clinically validated devices, Radius VSM",https://pubmed.ncbi.nlm.nih.gov/41157526/
40603351,Prevalence and associated factors of at risk of anemia among children under five in Northeast Thailand using noninvasive hemoglobin screening in a cross sectional study.,Scientific reports,2025,"Saengnipanthkul S, Sirikarn P, Musikaboonleart S, Tran LC, Puwanant M","Pediatric anemia remains a significant public health challenge in Northeast Thailand, where hemoglobinopathies and nutritional deficiencies coexist. Early identification of children at risk of anemia is crucial to prevent developmental and health consequences. This study assessed the prevalence of children under five being at risk of anemia using Masimo Rad-67® with Rainbow DCI-mini Sensor, while evaluating the association between caregivers' knowledge, attitudes, and practices on complementary feeding and childhood anemia. A clustered randomized cross-sectional study was conducted involving 2,000 child-caregiver pairs (aged 6 months to 5 years) in Northeast Thailand from September 2022 to March 2023. Non-invasive hemoglobin measurement was used, with anemia risk defined as spectrophotometry hemoglobin (SpHb) < 13.0 g/dL. Data collection included demographic characteristics, natal history, and feeding practices. Additionally, a survey was conducted to assess associated factors of anemia and caregivers' attitudes, knowledge, and practices regarding complementary feeding. The study found a 36.9% prevalence of at-risk anemia. Key predictors included age under 24 months (adjusted OR 2.1, 95%CI 1.7-2.6), maternal thalassemia trait (adjusted OR 1.8, 95%CI 1.4-2.3), and wasting (adjusted OR 1.6, 95%CI 1.2-2.1). Iron supplementation was a protective factor. Despite 48.2% of children receiving iron supplementation per government policy, only 24.6% met the daily iron intake according to the Thai dietary reference intake. Gap in caregiver knowledge persisted, with 68.1% of caregivers having received education on iron deficiency anemia, and only 32% able to name iron-rich foods. Public health strategies should combine nutritional education targeting iron-rich complementary feeding, implementation of a thalassemia-integrated screening protocol, and proactive community surveillance programs to improve iron intake. Thai clinical trial registration: TCTR20221024002.",https://pubmed.ncbi.nlm.nih.gov/40603351/
39806708,"Accuracy of noninvasive total haemoglobin measurement for detecting anaemia in infants: a cross-sectional study in a well-child care clinic, Khon Kaen, Thailand.",BMJ open,2024,"Saengnipanthkul S, Tawiangnan C, Sirikarn P, Supasai S, Sitthikarnkha P, Techasatian L, Uppala R","Infants are at a high risk of developing anaemia, which can arise from various causes, including inappropriate feeding practices. However, few infants attend anaemia screening programmes due to poor cooperation and being time-consuming. This study evaluated the accuracy of noninvasive total haemoglobin (Hb) spot-check monitoring as part of anaemia screening in healthy infants, compared with the conventional laboratory method.
A cross-sectional study was conducted using a consecutive sampling technique.
The study was carried out at the Well-Child Clinic, Khon Kaen University, Thailand.
Healthy, full-term infants aged 6-12 months who were scheduled for vaccination. Spectrophotometric haemoglobin (SpHb) was measured using Masimo Rad-67 with Rainbow DCI-mini Sensor. These values were compared with conventional laboratory analysis (HbLab) performed on the same day.
Differences between Hb values using the two methods were analysed using the Bland-Altman method. Sensitivity, specificity and positive and negative predictive values (PPV and NPV) for detecting anaemia were determined. Anaemia was defined as HbLab of <11.0 g/dL.
A total of 104 infants, with a median age of 9.6 (IQR 9.3, 10.9) months, were included. The prevalence of anaemia, defined by HbLab, was 38.46%. The mean SpHb was 12.20±1.10 g/dL, while the mean HbLab was 11.19±1.21 g/dL. A moderate positive correlation was observed (
A noninvasive tool for measuring Hb, with moderate sensitivity and NPV, may provide utility for initial screening to reduce unnecessary venipuncture in infants. However, its limited specificity and PPV necessitate confirmatory testing through conventional laboratory methods for accurate diagnosis. Depending on the context and available resources, it has potential to complement existing diagnostic processes, particularly in settings where rapid and noninvasive screening is prioritised.
Thai Clinical Trials Registry (TCTR20210816002).",https://pubmed.ncbi.nlm.nih.gov/39806708/
39546216,New sensors for the early detection of clinical deterioration on general wards and beyond - a clinician's perspective.,Journal of clinical monitoring and computing,2025,"Michard F, Saugel B","The early detection of clinical deterioration could be the next significant step in enhancing patient safety in general hospital wards. Most patients do not deteriorate suddenly; instead, their vital signs are often abnormal or trending towards an abnormal range hours before severe adverse events requiring rescue intervention and/or ICU transfer. To date, at least 10 large clinical studies have demonstrated a significant reduction in severe adverse events when heart rate, blood pressure, oxygen saturation and/or respiratory rate are continuously monitored on medical and surgical wards. Continuous, silent, and automatic monitoring of vital signs also presents the opportunity to eliminate unnecessary spot-checks for stable patients. This could lead to a reduction in nurse workload, while significantly improving patient comfort, sleep quality, and overall satisfaction. Wireless and wearable sensors are particularly valuable, as they make continuous monitoring feasible even for ambulatory patients, raising questions about the future relevance of ""stay-in-bed"" solutions like capnography, bed sensors, and video-monitoring systems. While the number of wearable sensors and mobile monitoring solutions is rapidly growing, independent validation studies on their sensitivity and specificity in detecting abnormal vital signs in actual patients, rather than healthy volunteers, remain limited. Additionally, further research is needed to evaluate the cost-effectiveness of using wireless wearables for vital sign monitoring both within hospital wards and at home.",https://pubmed.ncbi.nlm.nih.gov/39546216/
39409419,Validity and Reliability of Wearable Sensors for Continuous Postoperative Vital Signs Monitoring in Patients Recovering from Trauma Surgery.,"Sensors (Basel, Switzerland)",2024,"van Melzen R, Haveman ME, Schuurmann RCL, van Amsterdam K, El Moumni M, Tabak M, Struys MMRF, de Vries JPM","(1) Background: Wearable sensors support healthcare professionals in clinical decision-making by measuring vital parameters such as heart rate (HR), respiration rate (RR), and blood oxygenation saturation (SpO",https://pubmed.ncbi.nlm.nih.gov/39409419/
39285430,Testing preload responsiveness by the tidal volume challenge assessed by the photoplethysmographic perfusion index.,"Critical care (London, England)",2024,"Bruscagnin C, Shi R, Rosalba D, Fouqué G, Hagry J, Lai C, Donadello K, Pham T, Teboul JL, Monnet X","To detect preload responsiveness in patients ventilated with a tidal volume (Vt) at 6 mL/kg of predicted body weight (PBW), the Vt-challenge consists in increasing Vt from 6 to 8 mL/kg PBW and measuring the increase in pulse pressure variation (PPV). However, this requires an arterial catheter. The perfusion index (PI), which reflects the amplitude of the photoplethysmographic signal, may reflect stroke volume and its respiratory variation (pleth variability index, PVI) may estimate PPV. We assessed whether Vt-challenge-induced changes in PI or PVI could be as reliable as changes in PPV for detecting preload responsiveness defined by a PLR-induced increase in cardiac index (CI) ≥ 10%.
In critically ill patients ventilated with Vt = 6 mL/kg PBW and no spontaneous breathing, haemodynamic (PICCO
Among 63 screened patients, 21 (33%) were excluded because of an unstable PI signal and/or atrial fibrillation and 42 were included. During the Vt-challenge in the 16 preload responders, CI decreased by 4.8 ± 2.8% (percent change), PPV increased by 4.4 ± 1.9% (absolute change), PI
In patients under mechanical ventilation with no spontaneous breathing and/or atrial fibrillation, changes in PI detected during Vt-challenge reliably detected preload responsiveness. The reliability was better when PI was measured on the forehead than on the fingertip. Changes in PVI during the Vt-challenge also detected preload responsiveness, but with lower accuracy.",https://pubmed.ncbi.nlm.nih.gov/39285430/
39075354,A retrospective study of the effects of a vasopressor bolus on systolic slope (dP/dt) and dynamic arterial elastance (Ea,BMC anesthesiology,2024,"Abdallah AC, Song SH, Fleming NW","To enhance the utility of functional hemodynamic monitoring, the variables systolic slope (dP/dt) and dynamic arterial elastance (Ea
This was a retrospective, non-randomized analysis of data collected during two clinical studies. All patients required intra-operative controlled mechanical ventilation and had an indwelling radial artery catheter connected to an Acumen IQ sensor. Raw arterial pressure waveform data was downloaded from the patient monitor and all hemodynamic measurements were calculated off-line. The anesthetic record was reviewed for bolus administrations of either phenylephrine or ephedrine. Cardiovascular variables prior to drug administration were compared to those following vasopressor administrations. The primary outcome was the difference for dP/dt and Ea
201 doses of phenylephrine and 100 doses of ephedrine were analyzed. All data sets are reported as median [95% CI]. Mean arterial pressure (MAP) increased from 62 [54,68] to 78 [76,80] mmHg following phenylephrine and from 59 [55,62] to 80 [77,83] mmHg following ephedrine. Stroke volume and cardiac output both increased. Stroke volume variation and pulse pressure variation decreased. Both drugs produced significant increases in dP/dt, from 571 [531, 645] to 767 [733, 811] mmHg/sec for phenylephrine and from 537 [509, 596] to 848 [779, 930] mmHg/sec for ephedrine. No significant changes in Ea
Bolus administration of phenylephrine or ephedrine increases dP/dt but does not change Ea
Data was collected from two protocols. The first was deemed to not require written, informed consent by the Institutional Review Board (IRB). The second was IRB-approved (Effect of Diastolic Dysfunction on Dynamic Cardiac Monitors) and registered on ClinicalTrials.gov (NCT04177225).",https://pubmed.ncbi.nlm.nih.gov/39075354/
38847787,Machine learning-based prediction of cerebral oxygen saturation based on multi-modal cerebral oximetry data.,Health informatics journal,2024,"Lee KS, Kim SJ, Kim DC, Park SH, Jang DH, Kim EH, Kang Y, Lee S, Lee SW","This study develops machine learning-based algorithms that facilitate accurate prediction of cerebral oxygen saturation using waveform data in the near-infrared range from a multi-modal oxygen saturation sensor. Data were obtained from 150,000 observations of a popular cerebral oximeter, Masimo O3™ regional oximetry (Co., United States) and a multi-modal cerebral oximeter, Votem (Inc., Korea). Among these observations, 112,500 (75%) and 37,500 (25%) were used for training and test sets, respectively. The dependent variable was the cerebral oxygen saturation value from the Masimo O3™ (0-100%). The independent variables were the time of measurement (0-300,000 ms) and the 16-bit decimal amplitudes values (infrared and red) from Votem (0-65,535). For the right part of the forehead, the root mean square error of the random forest (0.06) was much smaller than those of linear regression (1.22) and the artificial neural network with one, two or three hidden layers (2.58). The result was similar for the left part of forehead, that is, random forest (0.05) vs logistic regression (1.22) and the artificial neural network with one, two or three hidden layers (2.97). Machine learning aids in accurately predicting of cerebral oxygen saturation, employing the data from a multi-modal cerebral oximeter.",https://pubmed.ncbi.nlm.nih.gov/38847787/
38466565,Alternate Electrode Placements to Facilitate Frontal Electroencephalography Monitoring in Anesthetized and Critically Ill Patients.,Journal of neurosurgical anesthesiology,2025,"Isik OG, Chauhan V, Ahmed MT, Chang BA, Cassim TZ, Graves MC, Rajan S, Garcia PS","Frontal electroencephalography (EEG) monitoring can be useful in guiding the titration of anesthetics, but it is not always feasible to place electrodes in the standard configuration in some circumstances, including during neurosurgery. This study compares 5 alternate configurations of the Masimo Sedline Sensor.
Ten stably sedated patients in the intensive care unit were recruited. Frontal EEG was monitored in the standard configuration (bifrontal upright) and 5 alternate configurations: bifrontal inverse, infraorbital, lateral upright, lateral inverse, and semilateral. Average power spectral densities (PSDs) with 95% CIs in the alternate configurations were compared to PSDs in the standard configuration. Two-one-sided-testing with Wilcoxon signed-rank tests assessed equivalence in the spectral edge frequency (SEF-95), EEG power, and relative delta (0.5 to 3.5 Hz), alpha (8 to 12 Hz), and beta (20 to 30 Hz) power between each alternate and standard configurations.
After the removal of unanalyzable tracings, 7 patients were included for analysis in the infraorbital configuration and 9 in all other configurations. In the lateral upright and lateral inverse configurations, PSDs significantly differed from the standard configuration within the 15 to 20 Hz band. The greatest decrease in EEG power was in the lateral inverse configuration (median: -97 dB; IQR: -130, -62 dB). The largest change in frequency distribution of EEG power was in the infraorbital configuration; median SEF-95 change of -1.4 Hz (IQR: -2.8, 0.7 Hz), median relative delta power change of +7.3% (IQR: 1.4%, 7.9%), and median relative alpha power change of -0.6% (IQR: -5.7%, 0.0%).
These 5 alternate Sedline electrode configurations are suitable options for monitoring frontal EEG when the standard configuration is not possible.",https://pubmed.ncbi.nlm.nih.gov/38466565/
38272062,Reference Ranges for Regional Cerebral Oxygen Saturation with Masimo O3 after Birth and Differences with Other Devices.,American journal of perinatology,2024,"Carnicero LB, Carbonero SC","Cerebral oximetry using near-infrared spectroscopy (NIRS) is a noninvasive optical technology widely used in neonatology. The present study aimed to define reference ranges for cerebral tissue oxygen saturation (crSO
This was a prospective observational study using Masimo O3 device to measure crSO
A total of 44 newborns were included. The median crSO
The present observational study presented reference ranges for crSO
· Masimo O3 uses four wavelengths to measure regional oxygen saturation value.. · O3 values of crSO2 and cFTOE differ with other neonatal oximeters at birth.. · Knowledge of reference range of O3 at birth is essential to guide resuscitation..",https://pubmed.ncbi.nlm.nih.gov/38272062/
